LATENCY_IN_MICROS,DUT_INPUT,DUT_OUTPUT,BUFFER_SIZE,SAMPLE_RATE,CHANNELS
16248,USB IN,LINE OUT,96,48000,1
8858,USB IN,LINE OUT,96,48000,1
8194,USB IN,LINE OUT,96,48000,1
8802,USB IN,LINE OUT,96,48000,1
8417,USB IN,LINE OUT,96,48000,1
8026,USB IN,LINE OUT,96,48000,1
7668,USB IN,LINE OUT,96,48000,1
8257,USB IN,LINE OUT,96,48000,1
8844,USB IN,LINE OUT,96,48000,1
8451,USB IN,LINE OUT,96,48000,1
8066,USB IN,LINE OUT,96,48000,1
8690,USB IN,LINE OUT,96,48000,1
8273,USB IN,LINE OUT,96,48000,1
5883,USB IN,LINE OUT,96,48000,1
8501,USB IN,LINE OUT,96,48000,1
8113,USB IN,LINE OUT,96,48000,1
8725,USB IN,LINE OUT,96,48000,1
8345,USB IN,LINE OUT,96,48000,1
7958,USB IN,LINE OUT,96,48000,1
8572,USB IN,LINE OUT,96,48000,1
8181,USB IN,LINE OUT,96,48000,1
8766,USB IN,LINE OUT,96,48000,1
8367,USB IN,LINE OUT,96,48000,1
7944,USB IN,LINE OUT,96,48000,1
8552,USB IN,LINE OUT,96,48000,1
8160,USB IN,LINE OUT,96,48000,1
8767,USB IN,LINE OUT,96,48000,1
8373,USB IN,LINE OUT,96,48000,1
7972,USB IN,LINE OUT,96,48000,1
8603,USB IN,LINE OUT,96,48000,1
8190,USB IN,LINE OUT,96,48000,1
8787,USB IN,LINE OUT,96,48000,1
8393,USB IN,LINE OUT,96,48000,1
7970,USB IN,LINE OUT,96,48000,1
8582,USB IN,LINE OUT,96,48000,1
8188,USB IN,LINE OUT,96,48000,1
8784,USB IN,LINE OUT,96,48000,1
8389,USB IN,LINE OUT,96,48000,1
7978,USB IN,LINE OUT,96,48000,1
8588,USB IN,LINE OUT,96,48000,1
8192,USB IN,LINE OUT,96,48000,1
8806,USB IN,LINE OUT,96,48000,1
8410,USB IN,LINE OUT,96,48000,1
7957,USB IN,LINE OUT,96,48000,1
8555,USB IN,LINE OUT,96,48000,1
8165,USB IN,LINE OUT,96,48000,1
8786,USB IN,LINE OUT,96,48000,1
8392,USB IN,LINE OUT,96,48000,1
8027,USB IN,LINE OUT,96,48000,1
15642,USB IN,LINE OUT,96,48000,1
209,USB IN,LINE OUT,96,48000,1
13,USB IN,LINE OUT,96,48000,1
329,USB IN,LINE OUT,96,48000,1
6,USB IN,LINE OUT,96,48000,1
683,USB IN,LINE OUT,96,48000,1
316,USB IN,LINE OUT,96,48000,1
29,USB IN,LINE OUT,96,48000,1
17,USB IN,LINE OUT,96,48000,1
790,USB IN,LINE OUT,96,48000,1
396,USB IN,LINE OUT,96,48000,1
116,USB IN,LINE OUT,96,48000,1
1518,USB IN,LINE OUT,96,48000,1
5216,USB IN,LINE OUT,96,48000,1
23421907,USB IN,LINE OUT,96,48000,1
8615,USB IN,LINE OUT,96,48000,1
8242,USB IN,LINE OUT,96,48000,1
8695,USB IN,LINE OUT,96,48000,1
8097,USB IN,LINE OUT,96,48000,1
8618,USB IN,LINE OUT,96,48000,1
8161,USB IN,LINE OUT,96,48000,1
8698,USB IN,LINE OUT,96,48000,1
8103,USB IN,LINE OUT,96,48000,1
8362,USB IN,LINE OUT,96,48000,1
7951,USB IN,LINE OUT,96,48000,1
8307,USB IN,LINE OUT,96,48000,1
7931,USB IN,LINE OUT,96,48000,1
8292,USB IN,LINE OUT,96,48000,1
8785,USB IN,LINE OUT,96,48000,1
8387,USB IN,LINE OUT,96,48000,1
5797,USB IN,LINE OUT,96,48000,1
8223,USB IN,LINE OUT,96,48000,1
8825,USB IN,LINE OUT,96,48000,1
8317,USB IN,LINE OUT,96,48000,1
8812,USB IN,LINE OUT,96,48000,1
8323,USB IN,LINE OUT,96,48000,1
8690,USB IN,LINE OUT,96,48000,1
8617,USB IN,LINE OUT,96,48000,1
8169,USB IN,LINE OUT,96,48000,1
8706,USB IN,LINE OUT,96,48000,1
8355,USB IN,LINE OUT,96,48000,1
7998,USB IN,LINE OUT,96,48000,1
11642,USB IN,LINE OUT,96,48000,1
8280,USB IN,LINE OUT,96,48000,1
7832,USB IN,LINE OUT,96,48000,1
8252,USB IN,LINE OUT,96,48000,1
8715,USB IN,LINE OUT,96,48000,1
8341,USB IN,LINE OUT,96,48000,1
5889,USB IN,LINE OUT,96,48000,1
8306,USB IN,LINE OUT,96,48000,1
8814,USB IN,LINE OUT,96,48000,1
8312,USB IN,LINE OUT,96,48000,1
8766,USB IN,LINE OUT,96,48000,1
8358,USB IN,LINE OUT,96,48000,1
7942,USB IN,LINE OUT,96,48000,1
8519,USB IN,LINE OUT,96,48000,1
8019,USB IN,LINE OUT,96,48000,1
9648,USB IN,LINE OUT,96,48000,1
8218,USB IN,LINE OUT,96,48000,1
8830,USB IN,LINE OUT,96,48000,1
8445,USB IN,LINE OUT,96,48000,1
8059,USB IN,LINE OUT,96,48000,1
8650,USB IN,LINE OUT,96,48000,1
8263,USB IN,LINE OUT,96,48000,1
8852,USB IN,LINE OUT,96,48000,1
8464,USB IN,LINE OUT,96,48000,1
