LATENCY_IN_MICROS,DUT_INPUT,DUT_OUTPUT,BUFFER_SIZE,SAMPLE_RATE,CHANNELS
4983,USB IN,LINE OUT,16,44100,1
5281,USB IN,LINE OUT,16,44100,1
4192,USB IN,LINE OUT,16,44100,1
4987,USB IN,LINE OUT,16,44100,1
4261,USB IN,LINE OUT,16,44100,1
5166,USB IN,LINE OUT,16,44100,1
4549,USB IN,LINE OUT,16,44100,1
4752,USB IN,LINE OUT,16,44100,1
4730,USB IN,LINE OUT,16,44100,1
4929,USB IN,LINE OUT,16,44100,1
4881,USB IN,LINE OUT,16,44100,1
4860,USB IN,LINE OUT,16,44100,1
4096,USB IN,LINE OUT,16,44100,1
5273,USB IN,LINE OUT,16,44100,1
4285,USB IN,LINE OUT,16,44100,1
5486,USB IN,LINE OUT,16,44100,1
4435,USB IN,LINE OUT,16,44100,1
4653,USB IN,LINE OUT,16,44100,1
4656,USB IN,LINE OUT,16,44100,1
4620,USB IN,LINE OUT,16,44100,1
4829,USB IN,LINE OUT,16,44100,1
4951,USB IN,LINE OUT,16,44100,1
4379,USB IN,LINE OUT,16,44100,1
5132,USB IN,LINE OUT,16,44100,1
4103,USB IN,LINE OUT,16,44100,1
4273,USB IN,LINE OUT,16,44100,1
4133,USB IN,LINE OUT,16,44100,1
5284,USB IN,LINE OUT,16,44100,1
4286,USB IN,LINE OUT,16,44100,1
5409,USB IN,LINE OUT,16,44100,1
4310,USB IN,LINE OUT,16,44100,1
5453,USB IN,LINE OUT,16,44100,1
4627,USB IN,LINE OUT,16,44100,1
5484,USB IN,LINE OUT,16,44100,1
4024,USB IN,LINE OUT,16,44100,1
5448,USB IN,LINE OUT,16,44100,1
4539,USB IN,LINE OUT,16,44100,1
5530,USB IN,LINE OUT,16,44100,1
3990,USB IN,LINE OUT,16,44100,1
4663,USB IN,LINE OUT,16,44100,1
3986,USB IN,LINE OUT,16,44100,1
4510,USB IN,LINE OUT,16,44100,1
4183,USB IN,LINE OUT,16,44100,1
5052,USB IN,LINE OUT,16,44100,1
4359,USB IN,LINE OUT,16,44100,1
4253,USB IN,LINE OUT,16,44100,1
5269,USB IN,LINE OUT,16,44100,1
4405,USB IN,LINE OUT,16,44100,1
4718,USB IN,LINE OUT,16,44100,1
5242,USB IN,LINE OUT,16,44100,1
4854,USB IN,LINE OUT,16,44100,1
4636,USB IN,LINE OUT,16,44100,1
4018,USB IN,LINE OUT,16,44100,1
4869,USB IN,LINE OUT,16,44100,1
4630,USB IN,LINE OUT,16,44100,1
5061,USB IN,LINE OUT,16,44100,1
4382,USB IN,LINE OUT,16,44100,1
4252,USB IN,LINE OUT,16,44100,1
4551,USB IN,LINE OUT,16,44100,1
4622,USB IN,LINE OUT,16,44100,1
4800,USB IN,LINE OUT,16,44100,1
4552,USB IN,LINE OUT,16,44100,1
4874,USB IN,LINE OUT,16,44100,1
4378,USB IN,LINE OUT,16,44100,1
4027,USB IN,LINE OUT,16,44100,1
4905,USB IN,LINE OUT,16,44100,1
4148,USB IN,LINE OUT,16,44100,1
4654,USB IN,LINE OUT,16,44100,1
4314,USB IN,LINE OUT,16,44100,1
5181,USB IN,LINE OUT,16,44100,1
4481,USB IN,LINE OUT,16,44100,1
4317,USB IN,LINE OUT,16,44100,1
4643,USB IN,LINE OUT,16,44100,1
4524,USB IN,LINE OUT,16,44100,1
4856,USB IN,LINE OUT,16,44100,1
5121,USB IN,LINE OUT,16,44100,1
4995,USB IN,LINE OUT,16,44100,1
4964,USB IN,LINE OUT,16,44100,1
4289,USB IN,LINE OUT,16,44100,1
5184,USB IN,LINE OUT,16,44100,1
4517,USB IN,LINE OUT,16,44100,1
4078,USB IN,LINE OUT,16,44100,1
4671,USB IN,LINE OUT,16,44100,1
4301,USB IN,LINE OUT,16,44100,1
4859,USB IN,LINE OUT,16,44100,1
4636,USB IN,LINE OUT,16,44100,1
4072,USB IN,LINE OUT,16,44100,1
4680,USB IN,LINE OUT,16,44100,1
4278,USB IN,LINE OUT,16,44100,1
4905,USB IN,LINE OUT,16,44100,1
4875,USB IN,LINE OUT,16,44100,1
4066,USB IN,LINE OUT,16,44100,1
4649,USB IN,LINE OUT,16,44100,1
4295,USB IN,LINE OUT,16,44100,1
5083,USB IN,LINE OUT,16,44100,1
4633,USB IN,LINE OUT,16,44100,1
4290,USB IN,LINE OUT,16,44100,1
4706,USB IN,LINE OUT,16,44100,1
4469,USB IN,LINE OUT,16,44100,1
4904,USB IN,LINE OUT,16,44100,1
4129,USB IN,LINE OUT,16,44100,1
4076,USB IN,LINE OUT,16,44100,1
4865,USB IN,LINE OUT,16,44100,1
4291,USB IN,LINE OUT,16,44100,1
5063,USB IN,LINE OUT,16,44100,1
5112,USB IN,LINE OUT,16,44100,1
4694,USB IN,LINE OUT,16,44100,1
4695,USB IN,LINE OUT,16,44100,1
4907,USB IN,LINE OUT,16,44100,1
4915,USB IN,LINE OUT,16,44100,1
5141,USB IN,LINE OUT,16,44100,1
4089,USB IN,LINE OUT,16,44100,1
5291,USB IN,LINE OUT,16,44100,1
4319,USB IN,LINE OUT,16,44100,1
5520,USB IN,LINE OUT,16,44100,1
4625,USB IN,LINE OUT,16,44100,1
4721,USB IN,LINE OUT,16,44100,1
4716,USB IN,LINE OUT,16,44100,1
4896,USB IN,LINE OUT,16,44100,1
4902,USB IN,LINE OUT,16,44100,1
