LATENCY_IN_MICROS,DUT_INPUT,DUT_OUTPUT,BUFFER_SIZE,SAMPLE_RATE,CHANNELS
4641,USB IN,LINE OUT,16,44100,1
5311,USB IN,LINE OUT,16,44100,1
5090,USB IN,LINE OUT,16,44100,1
5162,USB IN,LINE OUT,16,44100,1
5021,USB IN,LINE OUT,16,44100,1
5092,USB IN,LINE OUT,16,44100,1
4886,USB IN,LINE OUT,16,44100,1
5117,USB IN,LINE OUT,16,44100,1
4809,USB IN,LINE OUT,16,44100,1
5203,USB IN,LINE OUT,16,44100,1
5300,USB IN,LINE OUT,16,44100,1
5150,USB IN,LINE OUT,16,44100,1
5131,USB IN,LINE OUT,16,44100,1
5625,USB IN,LINE OUT,16,44100,1
5191,USB IN,LINE OUT,16,44100,1
5293,USB IN,LINE OUT,16,44100,1
4780,USB IN,LINE OUT,16,44100,1
5057,USB IN,LINE OUT,16,44100,1
5263,USB IN,LINE OUT,16,44100,1
4509,USB IN,LINE OUT,16,44100,1
5200,USB IN,LINE OUT,16,44100,1
5085,USB IN,LINE OUT,16,44100,1
5432,USB IN,LINE OUT,16,44100,1
5138,USB IN,LINE OUT,16,44100,1
5172,USB IN,LINE OUT,16,44100,1
5176,USB IN,LINE OUT,16,44100,1
5235,USB IN,LINE OUT,16,44100,1
5114,USB IN,LINE OUT,16,44100,1
5295,USB IN,LINE OUT,16,44100,1
5085,USB IN,LINE OUT,16,44100,1
5210,USB IN,LINE OUT,16,44100,1
5029,USB IN,LINE OUT,16,44100,1
5115,USB IN,LINE OUT,16,44100,1
4992,USB IN,LINE OUT,16,44100,1
5218,USB IN,LINE OUT,16,44100,1
4878,USB IN,LINE OUT,16,44100,1
4869,USB IN,LINE OUT,16,44100,1
4968,USB IN,LINE OUT,16,44100,1
4992,USB IN,LINE OUT,16,44100,1
4716,USB IN,LINE OUT,16,44100,1
4923,USB IN,LINE OUT,16,44100,1
4675,USB IN,LINE OUT,16,44100,1
4962,USB IN,LINE OUT,16,44100,1
4953,USB IN,LINE OUT,16,44100,1
5410,USB IN,LINE OUT,16,44100,1
4813,USB IN,LINE OUT,16,44100,1
5130,USB IN,LINE OUT,16,44100,1
4804,USB IN,LINE OUT,16,44100,1
4937,USB IN,LINE OUT,16,44100,1
4924,USB IN,LINE OUT,16,44100,1
4982,USB IN,LINE OUT,16,44100,1
4607,USB IN,LINE OUT,16,44100,1
4598,USB IN,LINE OUT,16,44100,1
4770,USB IN,LINE OUT,16,44100,1
5360,USB IN,LINE OUT,16,44100,1
4730,USB IN,LINE OUT,16,44100,1
4878,USB IN,LINE OUT,16,44100,1
4779,USB IN,LINE OUT,16,44100,1
5151,USB IN,LINE OUT,16,44100,1
4841,USB IN,LINE OUT,16,44100,1
4874,USB IN,LINE OUT,16,44100,1
4967,USB IN,LINE OUT,16,44100,1
4970,USB IN,LINE OUT,16,44100,1
4785,USB IN,LINE OUT,16,44100,1
4931,USB IN,LINE OUT,16,44100,1
4810,USB IN,LINE OUT,16,44100,1
4496,USB IN,LINE OUT,16,44100,1
4795,USB IN,LINE OUT,16,44100,1
5374,USB IN,LINE OUT,16,44100,1
4744,USB IN,LINE OUT,16,44100,1
5152,USB IN,LINE OUT,16,44100,1
4800,USB IN,LINE OUT,16,44100,1
4916,USB IN,LINE OUT,16,44100,1
4917,USB IN,LINE OUT,16,44100,1
4967,USB IN,LINE OUT,16,44100,1
4734,USB IN,LINE OUT,16,44100,1
5324,USB IN,LINE OUT,16,44100,1
4793,USB IN,LINE OUT,16,44100,1
4961,USB IN,LINE OUT,16,44100,1
4717,USB IN,LINE OUT,16,44100,1
4933,USB IN,LINE OUT,16,44100,1
4814,USB IN,LINE OUT,16,44100,1
5077,USB IN,LINE OUT,16,44100,1
5343,USB IN,LINE OUT,16,44100,1
4769,USB IN,LINE OUT,16,44100,1
4733,USB IN,LINE OUT,16,44100,1
4987,USB IN,LINE OUT,16,44100,1
4813,USB IN,LINE OUT,16,44100,1
5042,USB IN,LINE OUT,16,44100,1
4794,USB IN,LINE OUT,16,44100,1
4680,USB IN,LINE OUT,16,44100,1
4884,USB IN,LINE OUT,16,44100,1
5338,USB IN,LINE OUT,16,44100,1
5360,USB IN,LINE OUT,16,44100,1
5051,USB IN,LINE OUT,16,44100,1
4812,USB IN,LINE OUT,16,44100,1
4904,USB IN,LINE OUT,16,44100,1
4716,USB IN,LINE OUT,16,44100,1
5034,USB IN,LINE OUT,16,44100,1
4784,USB IN,LINE OUT,16,44100,1
4837,USB IN,LINE OUT,16,44100,1
4641,USB IN,LINE OUT,16,44100,1
5042,USB IN,LINE OUT,16,44100,1
4902,USB IN,LINE OUT,16,44100,1
3359,USB IN,LINE OUT,16,44100,1
5236,USB IN,LINE OUT,16,44100,1
5240,USB IN,LINE OUT,16,44100,1
5136,USB IN,LINE OUT,16,44100,1
4959,USB IN,LINE OUT,16,44100,1
5428,USB IN,LINE OUT,16,44100,1
5283,USB IN,LINE OUT,16,44100,1
5107,USB IN,LINE OUT,16,44100,1
5087,USB IN,LINE OUT,16,44100,1
5174,USB IN,LINE OUT,16,44100,1
4530,USB IN,LINE OUT,16,44100,1
5348,USB IN,LINE OUT,16,44100,1
5367,USB IN,LINE OUT,16,44100,1
5212,USB IN,LINE OUT,16,44100,1
5049,USB IN,LINE OUT,16,44100,1
5179,USB IN,LINE OUT,16,44100,1
4709,USB IN,LINE OUT,16,44100,1
5238,USB IN,LINE OUT,16,44100,1
5380,USB IN,LINE OUT,16,44100,1
5321,USB IN,LINE OUT,16,44100,1
5427,USB IN,LINE OUT,16,44100,1
5303,USB IN,LINE OUT,16,44100,1
4667,USB IN,LINE OUT,16,44100,1
5522,USB IN,LINE OUT,16,44100,1
5333,USB IN,LINE OUT,16,44100,1
5288,USB IN,LINE OUT,16,44100,1
5338,USB IN,LINE OUT,16,44100,1
5250,USB IN,LINE OUT,16,44100,1
5366,USB IN,LINE OUT,16,44100,1
5404,USB IN,LINE OUT,16,44100,1
4836,USB IN,LINE OUT,16,44100,1
5313,USB IN,LINE OUT,16,44100,1
5345,USB IN,LINE OUT,16,44100,1
5218,USB IN,LINE OUT,16,44100,1
5348,USB IN,LINE OUT,16,44100,1
5522,USB IN,LINE OUT,16,44100,1
5094,USB IN,LINE OUT,16,44100,1
5362,USB IN,LINE OUT,16,44100,1
4913,USB IN,LINE OUT,16,44100,1
4515,USB IN,LINE OUT,16,44100,1
5291,USB IN,LINE OUT,16,44100,1
5271,USB IN,LINE OUT,16,44100,1
4949,USB IN,LINE OUT,16,44100,1
5089,USB IN,LINE OUT,16,44100,1
5152,USB IN,LINE OUT,16,44100,1
5089,USB IN,LINE OUT,16,44100,1
4947,USB IN,LINE OUT,16,44100,1
5101,USB IN,LINE OUT,16,44100,1
4992,USB IN,LINE OUT,16,44100,1
5163,USB IN,LINE OUT,16,44100,1
4963,USB IN,LINE OUT,16,44100,1
5096,USB IN,LINE OUT,16,44100,1
5077,USB IN,LINE OUT,16,44100,1
5084,USB IN,LINE OUT,16,44100,1
4986,USB IN,LINE OUT,16,44100,1
5096,USB IN,LINE OUT,16,44100,1
5242,USB IN,LINE OUT,16,44100,1
5334,USB IN,LINE OUT,16,44100,1
5322,USB IN,LINE OUT,16,44100,1
5538,USB IN,LINE OUT,16,44100,1
5130,USB IN,LINE OUT,16,44100,1
5370,USB IN,LINE OUT,16,44100,1
5407,USB IN,LINE OUT,16,44100,1
5348,USB IN,LINE OUT,16,44100,1
5220,USB IN,LINE OUT,16,44100,1
5448,USB IN,LINE OUT,16,44100,1
5139,USB IN,LINE OUT,16,44100,1
5329,USB IN,LINE OUT,16,44100,1
5394,USB IN,LINE OUT,16,44100,1
5244,USB IN,LINE OUT,16,44100,1
5221,USB IN,LINE OUT,16,44100,1
5289,USB IN,LINE OUT,16,44100,1
4419,USB IN,LINE OUT,16,44100,1
5070,USB IN,LINE OUT,16,44100,1
5170,USB IN,LINE OUT,16,44100,1
5094,USB IN,LINE OUT,16,44100,1
5042,USB IN,LINE OUT,16,44100,1
4782,USB IN,LINE OUT,16,44100,1
5107,USB IN,LINE OUT,16,44100,1
4999,USB IN,LINE OUT,16,44100,1
5260,USB IN,LINE OUT,16,44100,1
4981,USB IN,LINE OUT,16,44100,1
5111,USB IN,LINE OUT,16,44100,1
5152,USB IN,LINE OUT,16,44100,1
4996,USB IN,LINE OUT,16,44100,1
5193,USB IN,LINE OUT,16,44100,1
4963,USB IN,LINE OUT,16,44100,1
4963,USB IN,LINE OUT,16,44100,1
4999,USB IN,LINE OUT,16,44100,1
4938,USB IN,LINE OUT,16,44100,1
5178,USB IN,LINE OUT,16,44100,1
4873,USB IN,LINE OUT,16,44100,1
5249,USB IN,LINE OUT,16,44100,1
4959,USB IN,LINE OUT,16,44100,1
5084,USB IN,LINE OUT,16,44100,1
5013,USB IN,LINE OUT,16,44100,1
5136,USB IN,LINE OUT,16,44100,1
4914,USB IN,LINE OUT,16,44100,1
5273,USB IN,LINE OUT,16,44100,1
4850,USB IN,LINE OUT,16,44100,1
4993,USB IN,LINE OUT,16,44100,1
4672,USB IN,LINE OUT,16,44100,1
5045,USB IN,LINE OUT,16,44100,1
4844,USB IN,LINE OUT,16,44100,1
5548,USB IN,LINE OUT,16,44100,1
4938,USB IN,LINE OUT,16,44100,1
5016,USB IN,LINE OUT,16,44100,1
5264,USB IN,LINE OUT,16,44100,1
5238,USB IN,LINE OUT,16,44100,1
4658,USB IN,LINE OUT,16,44100,1
5271,USB IN,LINE OUT,16,44100,1
4827,USB IN,LINE OUT,16,44100,1
5006,USB IN,LINE OUT,16,44100,1
4745,USB IN,LINE OUT,16,44100,1
5180,USB IN,LINE OUT,16,44100,1
4984,USB IN,LINE OUT,16,44100,1
5204,USB IN,LINE OUT,16,44100,1
4474,USB IN,LINE OUT,16,44100,1
5154,USB IN,LINE OUT,16,44100,1
5046,USB IN,LINE OUT,16,44100,1
4622,USB IN,LINE OUT,16,44100,1
5087,USB IN,LINE OUT,16,44100,1
4747,USB IN,LINE OUT,16,44100,1
4685,USB IN,LINE OUT,16,44100,1
4931,USB IN,LINE OUT,16,44100,1
5258,USB IN,LINE OUT,16,44100,1
4938,USB IN,LINE OUT,16,44100,1
5065,USB IN,LINE OUT,16,44100,1
5018,USB IN,LINE OUT,16,44100,1
4992,USB IN,LINE OUT,16,44100,1
4946,USB IN,LINE OUT,16,44100,1
5271,USB IN,LINE OUT,16,44100,1
4733,USB IN,LINE OUT,16,44100,1
5043,USB IN,LINE OUT,16,44100,1
5056,USB IN,LINE OUT,16,44100,1
5085,USB IN,LINE OUT,16,44100,1
4912,USB IN,LINE OUT,16,44100,1
5175,USB IN,LINE OUT,16,44100,1
4844,USB IN,LINE OUT,16,44100,1
5148,USB IN,LINE OUT,16,44100,1
5018,USB IN,LINE OUT,16,44100,1
4800,USB IN,LINE OUT,16,44100,1
5029,USB IN,LINE OUT,16,44100,1
5250,USB IN,LINE OUT,16,44100,1
5027,USB IN,LINE OUT,16,44100,1
4872,USB IN,LINE OUT,16,44100,1
5199,USB IN,LINE OUT,16,44100,1
4711,USB IN,LINE OUT,16,44100,1
5074,USB IN,LINE OUT,16,44100,1
4840,USB IN,LINE OUT,16,44100,1
5071,USB IN,LINE OUT,16,44100,1
4889,USB IN,LINE OUT,16,44100,1
5014,USB IN,LINE OUT,16,44100,1
4648,USB IN,LINE OUT,16,44100,1
5017,USB IN,LINE OUT,16,44100,1
4859,USB IN,LINE OUT,16,44100,1
5328,USB IN,LINE OUT,16,44100,1
4722,USB IN,LINE OUT,16,44100,1
5036,USB IN,LINE OUT,16,44100,1
5189,USB IN,LINE OUT,16,44100,1
4862,USB IN,LINE OUT,16,44100,1
5269,USB IN,LINE OUT,16,44100,1
5027,USB IN,LINE OUT,16,44100,1
5056,USB IN,LINE OUT,16,44100,1
5140,USB IN,LINE OUT,16,44100,1
4716,USB IN,LINE OUT,16,44100,1
5086,USB IN,LINE OUT,16,44100,1
4976,USB IN,LINE OUT,16,44100,1
5094,USB IN,LINE OUT,16,44100,1
4902,USB IN,LINE OUT,16,44100,1
5086,USB IN,LINE OUT,16,44100,1
4850,USB IN,LINE OUT,16,44100,1
4719,USB IN,LINE OUT,16,44100,1
4561,USB IN,LINE OUT,16,44100,1
5066,USB IN,LINE OUT,16,44100,1
5157,USB IN,LINE OUT,16,44100,1
5466,USB IN,LINE OUT,16,44100,1
4807,USB IN,LINE OUT,16,44100,1
4650,USB IN,LINE OUT,16,44100,1
5033,USB IN,LINE OUT,16,44100,1
5182,USB IN,LINE OUT,16,44100,1
4944,USB IN,LINE OUT,16,44100,1
5279,USB IN,LINE OUT,16,44100,1
4865,USB IN,LINE OUT,16,44100,1
5071,USB IN,LINE OUT,16,44100,1
5151,USB IN,LINE OUT,16,44100,1
5092,USB IN,LINE OUT,16,44100,1
5252,USB IN,LINE OUT,16,44100,1
5367,USB IN,LINE OUT,16,44100,1
5060,USB IN,LINE OUT,16,44100,1
4694,USB IN,LINE OUT,16,44100,1
5108,USB IN,LINE OUT,16,44100,1
4584,USB IN,LINE OUT,16,44100,1
4989,USB IN,LINE OUT,16,44100,1
4734,USB IN,LINE OUT,16,44100,1
5062,USB IN,LINE OUT,16,44100,1
4637,USB IN,LINE OUT,16,44100,1
4944,USB IN,LINE OUT,16,44100,1
4733,USB IN,LINE OUT,16,44100,1
5089,USB IN,LINE OUT,16,44100,1
4916,USB IN,LINE OUT,16,44100,1
4960,USB IN,LINE OUT,16,44100,1
5251,USB IN,LINE OUT,16,44100,1
5328,USB IN,LINE OUT,16,44100,1
5244,USB IN,LINE OUT,16,44100,1
5303,USB IN,LINE OUT,16,44100,1
4931,USB IN,LINE OUT,16,44100,1
5169,USB IN,LINE OUT,16,44100,1
5311,USB IN,LINE OUT,16,44100,1
4836,USB IN,LINE OUT,16,44100,1
5085,USB IN,LINE OUT,16,44100,1
5368,USB IN,LINE OUT,16,44100,1
5196,USB IN,LINE OUT,16,44100,1
5313,USB IN,LINE OUT,16,44100,1
5184,USB IN,LINE OUT,16,44100,1
5387,USB IN,LINE OUT,16,44100,1
4968,USB IN,LINE OUT,16,44100,1
4566,USB IN,LINE OUT,16,44100,1
5177,USB IN,LINE OUT,16,44100,1
4662,USB IN,LINE OUT,16,44100,1
5264,USB IN,LINE OUT,16,44100,1
4849,USB IN,LINE OUT,16,44100,1
4715,USB IN,LINE OUT,16,44100,1
4686,USB IN,LINE OUT,16,44100,1
4926,USB IN,LINE OUT,16,44100,1
4535,USB IN,LINE OUT,16,44100,1
4963,USB IN,LINE OUT,16,44100,1
4923,USB IN,LINE OUT,16,44100,1
4922,USB IN,LINE OUT,16,44100,1
4780,USB IN,LINE OUT,16,44100,1
5139,USB IN,LINE OUT,16,44100,1
4626,USB IN,LINE OUT,16,44100,1
5027,USB IN,LINE OUT,16,44100,1
4940,USB IN,LINE OUT,16,44100,1
5016,USB IN,LINE OUT,16,44100,1
5086,USB IN,LINE OUT,16,44100,1
4921,USB IN,LINE OUT,16,44100,1
4614,USB IN,LINE OUT,16,44100,1
4947,USB IN,LINE OUT,16,44100,1
