LATENCY_IN_MICROS,DUT_INPUT,DUT_OUTPUT,BUFFER_SIZE,SAMPLE_RATE,CHANNELS
4700,USB IN,LINE OUT,16,44100,1
4594,USB IN,LINE OUT,16,44100,1
4715,USB IN,LINE OUT,16,44100,1
5485,USB IN,LINE OUT,16,44100,1
4594,USB IN,LINE OUT,16,44100,1
4646,USB IN,LINE OUT,16,44100,1
4672,USB IN,LINE OUT,16,44100,1
4691,USB IN,LINE OUT,16,44100,1
5472,USB IN,LINE OUT,16,44100,1
5204,USB IN,LINE OUT,16,44100,1
4645,USB IN,LINE OUT,16,44100,1
4668,USB IN,LINE OUT,16,44100,1
4545,USB IN,LINE OUT,16,44100,1
4479,USB IN,LINE OUT,16,44100,1
4548,USB IN,LINE OUT,16,44100,1
5420,USB IN,LINE OUT,16,44100,1
4476,USB IN,LINE OUT,16,44100,1
5492,USB IN,LINE OUT,16,44100,1
4677,USB IN,LINE OUT,16,44100,1
5411,USB IN,LINE OUT,16,44100,1
4515,USB IN,LINE OUT,16,44100,1
5407,USB IN,LINE OUT,16,44100,1
4674,USB IN,LINE OUT,16,44100,1
5411,USB IN,LINE OUT,16,44100,1
4529,USB IN,LINE OUT,16,44100,1
4863,USB IN,LINE OUT,16,44100,1
4635,USB IN,LINE OUT,16,44100,1
4586,USB IN,LINE OUT,16,44100,1
4660,USB IN,LINE OUT,16,44100,1
4709,USB IN,LINE OUT,16,44100,1
5459,USB IN,LINE OUT,16,44100,1
5499,USB IN,LINE OUT,16,44100,1
5422,USB IN,LINE OUT,16,44100,1
4514,USB IN,LINE OUT,16,44100,1
4660,USB IN,LINE OUT,16,44100,1
5487,USB IN,LINE OUT,16,44100,1
5436,USB IN,LINE OUT,16,44100,1
4648,USB IN,LINE OUT,16,44100,1
5291,USB IN,LINE OUT,16,44100,1
5373,USB IN,LINE OUT,16,44100,1
4629,USB IN,LINE OUT,16,44100,1
4659,USB IN,LINE OUT,16,44100,1
4667,USB IN,LINE OUT,16,44100,1
4623,USB IN,LINE OUT,16,44100,1
4684,USB IN,LINE OUT,16,44100,1
4649,USB IN,LINE OUT,16,44100,1
4633,USB IN,LINE OUT,16,44100,1
4671,USB IN,LINE OUT,16,44100,1
4599,USB IN,LINE OUT,16,44100,1
4676,USB IN,LINE OUT,16,44100,1
4592,USB IN,LINE OUT,16,44100,1
4623,USB IN,LINE OUT,16,44100,1
4642,USB IN,LINE OUT,16,44100,1
5423,USB IN,LINE OUT,16,44100,1
4678,USB IN,LINE OUT,16,44100,1
4666,USB IN,LINE OUT,16,44100,1
4581,USB IN,LINE OUT,16,44100,1
4672,USB IN,LINE OUT,16,44100,1
4633,USB IN,LINE OUT,16,44100,1
4642,USB IN,LINE OUT,16,44100,1
4623,USB IN,LINE OUT,16,44100,1
4659,USB IN,LINE OUT,16,44100,1
4664,USB IN,LINE OUT,16,44100,1
4633,USB IN,LINE OUT,16,44100,1
4652,USB IN,LINE OUT,16,44100,1
4674,USB IN,LINE OUT,16,44100,1
4677,USB IN,LINE OUT,16,44100,1
4710,USB IN,LINE OUT,16,44100,1
4700,USB IN,LINE OUT,16,44100,1
4725,USB IN,LINE OUT,16,44100,1
4585,USB IN,LINE OUT,16,44100,1
4634,USB IN,LINE OUT,16,44100,1
4681,USB IN,LINE OUT,16,44100,1
4669,USB IN,LINE OUT,16,44100,1
4691,USB IN,LINE OUT,16,44100,1
4678,USB IN,LINE OUT,16,44100,1
4667,USB IN,LINE OUT,16,44100,1
4720,USB IN,LINE OUT,16,44100,1
4671,USB IN,LINE OUT,16,44100,1
4686,USB IN,LINE OUT,16,44100,1
4620,USB IN,LINE OUT,16,44100,1
4662,USB IN,LINE OUT,16,44100,1
4717,USB IN,LINE OUT,16,44100,1
4674,USB IN,LINE OUT,16,44100,1
4681,USB IN,LINE OUT,16,44100,1
4668,USB IN,LINE OUT,16,44100,1
4660,USB IN,LINE OUT,16,44100,1
4671,USB IN,LINE OUT,16,44100,1
4664,USB IN,LINE OUT,16,44100,1
4736,USB IN,LINE OUT,16,44100,1
4482,USB IN,LINE OUT,16,44100,1
4676,USB IN,LINE OUT,16,44100,1
4651,USB IN,LINE OUT,16,44100,1
4628,USB IN,LINE OUT,16,44100,1
4429,USB IN,LINE OUT,16,44100,1
5169,USB IN,LINE OUT,16,44100,1
4432,USB IN,LINE OUT,16,44100,1
4459,USB IN,LINE OUT,16,44100,1
4502,USB IN,LINE OUT,16,44100,1
4488,USB IN,LINE OUT,16,44100,1
4618,USB IN,LINE OUT,16,44100,1
5384,USB IN,LINE OUT,16,44100,1
4778,USB IN,LINE OUT,16,44100,1
4424,USB IN,LINE OUT,16,44100,1
5351,USB IN,LINE OUT,16,44100,1
5358,USB IN,LINE OUT,16,44100,1
4403,USB IN,LINE OUT,16,44100,1
5297,USB IN,LINE OUT,16,44100,1
5386,USB IN,LINE OUT,16,44100,1
5470,USB IN,LINE OUT,16,44100,1
4426,USB IN,LINE OUT,16,44100,1
5347,USB IN,LINE OUT,16,44100,1
4425,USB IN,LINE OUT,16,44100,1
5336,USB IN,LINE OUT,16,44100,1
4587,USB IN,LINE OUT,16,44100,1
4567,USB IN,LINE OUT,16,44100,1
4490,USB IN,LINE OUT,16,44100,1
5501,USB IN,LINE OUT,16,44100,1
4417,USB IN,LINE OUT,16,44100,1
5452,USB IN,LINE OUT,16,44100,1
4504,USB IN,LINE OUT,16,44100,1
4517,USB IN,LINE OUT,16,44100,1
4465,USB IN,LINE OUT,16,44100,1
4455,USB IN,LINE OUT,16,44100,1
5301,USB IN,LINE OUT,16,44100,1
4522,USB IN,LINE OUT,16,44100,1
4537,USB IN,LINE OUT,16,44100,1
4510,USB IN,LINE OUT,16,44100,1
5099,USB IN,LINE OUT,16,44100,1
4483,USB IN,LINE OUT,16,44100,1
4585,USB IN,LINE OUT,16,44100,1
5413,USB IN,LINE OUT,16,44100,1
5396,USB IN,LINE OUT,16,44100,1
