LATENCY_IN_MICROS,DUT_INPUT,DUT_OUTPUT,BUFFER_SIZE,SAMPLE_RATE,CHANNELS
4708,USB IN,LINE OUT,16,44100,1
4273,USB IN,LINE OUT,16,44100,1
4197,USB IN,LINE OUT,16,44100,1
4064,USB IN,LINE OUT,16,44100,1
4412,USB IN,LINE OUT,16,44100,1
4037,USB IN,LINE OUT,16,44100,1
3615,USB IN,LINE OUT,16,44100,1
4207,USB IN,LINE OUT,16,44100,1
3838,USB IN,LINE OUT,16,44100,1
4458,USB IN,LINE OUT,16,44100,1
4571,USB IN,LINE OUT,16,44100,1
3665,USB IN,LINE OUT,16,44100,1
4278,USB IN,LINE OUT,16,44100,1
3873,USB IN,LINE OUT,16,44100,1
4499,USB IN,LINE OUT,16,44100,1
4111,USB IN,LINE OUT,16,44100,1
3747,USB IN,LINE OUT,16,44100,1
4306,USB IN,LINE OUT,16,44100,1
3832,USB IN,LINE OUT,16,44100,1
4399,USB IN,LINE OUT,16,44100,1
3904,USB IN,LINE OUT,16,44100,1
4410,USB IN,LINE OUT,16,44100,1
3922,USB IN,LINE OUT,16,44100,1
3545,USB IN,LINE OUT,16,44100,1
4004,USB IN,LINE OUT,16,44100,1
4476,USB IN,LINE OUT,16,44100,1
4065,USB IN,LINE OUT,16,44100,1
3570,USB IN,LINE OUT,16,44100,1
4559,USB IN,LINE OUT,16,44100,1
3667,USB IN,LINE OUT,16,44100,1
4160,USB IN,LINE OUT,16,44100,1
3764,USB IN,LINE OUT,16,44100,1
4371,USB IN,LINE OUT,16,44100,1
3886,USB IN,LINE OUT,16,44100,1
4495,USB IN,LINE OUT,16,44100,1
3980,USB IN,LINE OUT,16,44100,1
3603,USB IN,LINE OUT,16,44100,1
4123,USB IN,LINE OUT,16,44100,1
3577,USB IN,LINE OUT,16,44100,1
4184,USB IN,LINE OUT,16,44100,1
4314,USB IN,LINE OUT,16,44100,1
4285,USB IN,LINE OUT,16,44100,1
3775,USB IN,LINE OUT,16,44100,1
4289,USB IN,LINE OUT,16,44100,1
3780,USB IN,LINE OUT,16,44100,1
4407,USB IN,LINE OUT,16,44100,1
3894,USB IN,LINE OUT,16,44100,1
4401,USB IN,LINE OUT,16,44100,1
3946,USB IN,LINE OUT,16,44100,1
4495,USB IN,LINE OUT,16,44100,1
3969,USB IN,LINE OUT,16,44100,1
3800,USB IN,LINE OUT,16,44100,1
4158,USB IN,LINE OUT,16,44100,1
3787,USB IN,LINE OUT,16,44100,1
4292,USB IN,LINE OUT,16,44100,1
3866,USB IN,LINE OUT,16,44100,1
4476,USB IN,LINE OUT,16,44100,1
4091,USB IN,LINE OUT,16,44100,1
3609,USB IN,LINE OUT,16,44100,1
4220,USB IN,LINE OUT,16,44100,1
3690,USB IN,LINE OUT,16,44100,1
4819,USB IN,LINE OUT,16,44100,1
3827,USB IN,LINE OUT,16,44100,1
4464,USB IN,LINE OUT,16,44100,1
4123,USB IN,LINE OUT,16,44100,1
3737,USB IN,LINE OUT,16,44100,1
5285,USB IN,LINE OUT,16,44100,1
3912,USB IN,LINE OUT,16,44100,1
4442,USB IN,LINE OUT,16,44100,1
4045,USB IN,LINE OUT,16,44100,1
3630,USB IN,LINE OUT,16,44100,1
4241,USB IN,LINE OUT,16,44100,1
3834,USB IN,LINE OUT,16,44100,1
4454,USB IN,LINE OUT,16,44100,1
4069,USB IN,LINE OUT,16,44100,1
3667,USB IN,LINE OUT,16,44100,1
4285,USB IN,LINE OUT,16,44100,1
3899,USB IN,LINE OUT,16,44100,1
3562,USB IN,LINE OUT,16,44100,1
4134,USB IN,LINE OUT,16,44100,1
4074,USB IN,LINE OUT,16,44100,1
4198,USB IN,LINE OUT,16,44100,1
3818,USB IN,LINE OUT,16,44100,1
4944,USB IN,LINE OUT,16,44100,1
4816,USB IN,LINE OUT,16,44100,1
3599,USB IN,LINE OUT,16,44100,1
4177,USB IN,LINE OUT,16,44100,1
4561,USB IN,LINE OUT,16,44100,1
4425,USB IN,LINE OUT,16,44100,1
