LATENCY_IN_MICROS,DUT_INPUT,DUT_OUTPUT,BUFFER_SIZE,SAMPLE_RATE,CHANNELS
16267,USB IN,LINE OUT,96,48000,1
16250,USB IN,LINE OUT,96,48000,1
16180,USB IN,LINE OUT,96,48000,1
16040,USB IN,LINE OUT,96,48000,1
16263,USB IN,LINE OUT,96,48000,1
16262,USB IN,LINE OUT,96,48000,1
16254,USB IN,LINE OUT,96,48000,1
16207,USB IN,LINE OUT,96,48000,1
16201,USB IN,LINE OUT,96,48000,1
16235,USB IN,LINE OUT,96,48000,1
16214,USB IN,LINE OUT,96,48000,1
16248,USB IN,LINE OUT,96,48000,1
16089,USB IN,LINE OUT,96,48000,1
16084,USB IN,LINE OUT,96,48000,1
16680,USB IN,LINE OUT,96,48000,1
16221,USB IN,LINE OUT,96,48000,1
16225,USB IN,LINE OUT,96,48000,1
16201,USB IN,LINE OUT,96,48000,1
16178,USB IN,LINE OUT,96,48000,1
15908,USB IN,LINE OUT,96,48000,1
16033,USB IN,LINE OUT,96,48000,1
15971,USB IN,LINE OUT,96,48000,1
16215,USB IN,LINE OUT,96,48000,1
16207,USB IN,LINE OUT,96,48000,1
16240,USB IN,LINE OUT,96,48000,1
16165,USB IN,LINE OUT,96,48000,1
16238,USB IN,LINE OUT,96,48000,1
16052,USB IN,LINE OUT,96,48000,1
16113,USB IN,LINE OUT,96,48000,1
16221,USB IN,LINE OUT,96,48000,1
16214,USB IN,LINE OUT,96,48000,1
16229,USB IN,LINE OUT,96,48000,1
16238,USB IN,LINE OUT,96,48000,1
16164,USB IN,LINE OUT,96,48000,1
16062,USB IN,LINE OUT,96,48000,1
16225,USB IN,LINE OUT,96,48000,1
16142,USB IN,LINE OUT,96,48000,1
16238,USB IN,LINE OUT,96,48000,1
16186,USB IN,LINE OUT,96,48000,1
16230,USB IN,LINE OUT,96,48000,1
16218,USB IN,LINE OUT,96,48000,1
16205,USB IN,LINE OUT,96,48000,1
16215,USB IN,LINE OUT,96,48000,1
16220,USB IN,LINE OUT,96,48000,1
16215,USB IN,LINE OUT,96,48000,1
16208,USB IN,LINE OUT,96,48000,1
16102,USB IN,LINE OUT,96,48000,1
16105,USB IN,LINE OUT,96,48000,1
16223,USB IN,LINE OUT,96,48000,1
16171,USB IN,LINE OUT,96,48000,1
16085,USB IN,LINE OUT,96,48000,1
16234,USB IN,LINE OUT,96,48000,1
16206,USB IN,LINE OUT,96,48000,1
