LATENCY_IN_MICROS,DUT_INPUT,DUT_OUTPUT,BUFFER_SIZE,SAMPLE_RATE,CHANNELS
17068,USB IN,LINE OUT,96,48000,1
16684,USB IN,LINE OUT,96,48000,1
16566,USB IN,LINE OUT,96,48000,1
16560,USB IN,LINE OUT,96,48000,1
16793,USB IN,LINE OUT,96,48000,1
17306,USB IN,LINE OUT,96,48000,1
17231,USB IN,LINE OUT,96,48000,1
15751,USB IN,LINE OUT,96,48000,1
17272,USB IN,LINE OUT,96,48000,1
16622,USB IN,LINE OUT,96,48000,1
17022,USB IN,LINE OUT,96,48000,1
16810,USB IN,LINE OUT,96,48000,1
16344,USB IN,LINE OUT,96,48000,1
16665,USB IN,LINE OUT,96,48000,1
16126,USB IN,LINE OUT,96,48000,1
16014,USB IN,LINE OUT,96,48000,1
16813,USB IN,LINE OUT,96,48000,1
16117,USB IN,LINE OUT,96,48000,1
16013,USB IN,LINE OUT,96,48000,1
16894,USB IN,LINE OUT,96,48000,1
16122,USB IN,LINE OUT,96,48000,1
16076,USB IN,LINE OUT,96,48000,1
16117,USB IN,LINE OUT,96,48000,1
16135,USB IN,LINE OUT,96,48000,1
16750,USB IN,LINE OUT,96,48000,1
16027,USB IN,LINE OUT,96,48000,1
15925,USB IN,LINE OUT,96,48000,1
15710,USB IN,LINE OUT,96,48000,1
16161,USB IN,LINE OUT,96,48000,1
16119,USB IN,LINE OUT,96,48000,1
16016,USB IN,LINE OUT,96,48000,1
16813,USB IN,LINE OUT,96,48000,1
16129,USB IN,LINE OUT,96,48000,1
16811,USB IN,LINE OUT,96,48000,1
16117,USB IN,LINE OUT,96,48000,1
16271,USB IN,LINE OUT,96,48000,1
16371,USB IN,LINE OUT,96,48000,1
16617,USB IN,LINE OUT,96,48000,1
16155,USB IN,LINE OUT,96,48000,1
16376,USB IN,LINE OUT,96,48000,1
16891,USB IN,LINE OUT,96,48000,1
16073,USB IN,LINE OUT,96,48000,1
16132,USB IN,LINE OUT,96,48000,1
16249,USB IN,LINE OUT,96,48000,1
16767,USB IN,LINE OUT,96,48000,1
16523,USB IN,LINE OUT,96,48000,1
15917,USB IN,LINE OUT,96,48000,1
17033,USB IN,LINE OUT,96,48000,1
16496,USB IN,LINE OUT,96,48000,1
16402,USB IN,LINE OUT,96,48000,1
16483,USB IN,LINE OUT,96,48000,1
17004,USB IN,LINE OUT,96,48000,1
17185,USB IN,LINE OUT,96,48000,1
16540,USB IN,LINE OUT,96,48000,1
16554,USB IN,LINE OUT,96,48000,1
16659,USB IN,LINE OUT,96,48000,1
16793,USB IN,LINE OUT,96,48000,1
16777,USB IN,LINE OUT,96,48000,1
16509,USB IN,LINE OUT,96,48000,1
16626,USB IN,LINE OUT,96,48000,1
16613,USB IN,LINE OUT,96,48000,1
