LATENCY_IN_MICROS,DUT_INPUT,DUT_OUTPUT,BUFFER_SIZE,SAMPLE_RATE,CHANNELS
4891,USB IN,LINE OUT,16,44100,1
5577,USB IN,LINE OUT,16,44100,1
6163,USB IN,LINE OUT,16,44100,1
5860,USB IN,LINE OUT,16,44100,1
5527,USB IN,LINE OUT,16,44100,1
4854,USB IN,LINE OUT,16,44100,1
5532,USB IN,LINE OUT,16,44100,1
4935,USB IN,LINE OUT,16,44100,1
5534,USB IN,LINE OUT,16,44100,1
4863,USB IN,LINE OUT,16,44100,1
5676,USB IN,LINE OUT,16,44100,1
5798,USB IN,LINE OUT,16,44100,1
5629,USB IN,LINE OUT,16,44100,1
5889,USB IN,LINE OUT,16,44100,1
5553,USB IN,LINE OUT,16,44100,1
4934,USB IN,LINE OUT,16,44100,1
5688,USB IN,LINE OUT,16,44100,1
4861,USB IN,LINE OUT,16,44100,1
5661,USB IN,LINE OUT,16,44100,1
5579,USB IN,LINE OUT,16,44100,1
4826,USB IN,LINE OUT,16,44100,1
5726,USB IN,LINE OUT,16,44100,1
5781,USB IN,LINE OUT,16,44100,1
5818,USB IN,LINE OUT,16,44100,1
4851,USB IN,LINE OUT,16,44100,1
5842,USB IN,LINE OUT,16,44100,1
5541,USB IN,LINE OUT,16,44100,1
5753,USB IN,LINE OUT,16,44100,1
5645,USB IN,LINE OUT,16,44100,1
6359,USB IN,LINE OUT,16,44100,1
5527,USB IN,LINE OUT,16,44100,1
5831,USB IN,LINE OUT,16,44100,1
5621,USB IN,LINE OUT,16,44100,1
5745,USB IN,LINE OUT,16,44100,1
5711,USB IN,LINE OUT,16,44100,1
5742,USB IN,LINE OUT,16,44100,1
5649,USB IN,LINE OUT,16,44100,1
5828,USB IN,LINE OUT,16,44100,1
5630,USB IN,LINE OUT,16,44100,1
5651,USB IN,LINE OUT,16,44100,1
5495,USB IN,LINE OUT,16,44100,1
5254,USB IN,LINE OUT,16,44100,1
5019,USB IN,LINE OUT,16,44100,1
5401,USB IN,LINE OUT,16,44100,1
5520,USB IN,LINE OUT,16,44100,1
5292,USB IN,LINE OUT,16,44100,1
5571,USB IN,LINE OUT,16,44100,1
5833,USB IN,LINE OUT,16,44100,1
5507,USB IN,LINE OUT,16,44100,1
5352,USB IN,LINE OUT,16,44100,1
5035,USB IN,LINE OUT,16,44100,1
