LATENCY_IN_MICROS,DUT_INPUT,DUT_OUTPUT,BUFFER_SIZE,SAMPLE_RATE,CHANNELS
20,LINE IN,LINE OUT,0,0,1
25,LINE IN,LINE OUT,0,0,1
20,LINE IN,LINE OUT,0,0,1
25,LINE IN,LINE OUT,0,0,1
20,LINE IN,LINE OUT,0,0,1
25,LINE IN,LINE OUT,0,0,1
20,LINE IN,LINE OUT,0,0,1
25,LINE IN,LINE OUT,0,0,1
25,LINE IN,LINE OUT,0,0,1
25,LINE IN,LINE OUT,0,0,1
25,LINE IN,LINE OUT,0,0,1
25,LINE IN,LINE OUT,0,0,1
25,LINE IN,LINE OUT,0,0,1
20,LINE IN,LINE OUT,0,0,1
25,LINE IN,LINE OUT,0,0,1
25,LINE IN,LINE OUT,0,0,1
25,LINE IN,LINE OUT,0,0,1
20,LINE IN,LINE OUT,0,0,1
20,LINE IN,LINE OUT,0,0,1
25,LINE IN,LINE OUT,0,0,1
20,LINE IN,LINE OUT,0,0,1
25,LINE IN,LINE OUT,0,0,1
20,LINE IN,LINE OUT,0,0,1
20,LINE IN,LINE OUT,0,0,1
25,LINE IN,LINE OUT,0,0,1
20,LINE IN,LINE OUT,0,0,1
25,LINE IN,LINE OUT,0,0,1
20,LINE IN,LINE OUT,0,0,1
20,LINE IN,LINE OUT,0,0,1
25,LINE IN,LINE OUT,0,0,1
20,LINE IN,LINE OUT,0,0,1
20,LINE IN,LINE OUT,0,0,1
20,LINE IN,LINE OUT,0,0,1
15,LINE IN,LINE OUT,0,0,1
20,LINE IN,LINE OUT,0,0,1
20,LINE IN,LINE OUT,0,0,1
15,LINE IN,LINE OUT,0,0,1
15,LINE IN,LINE OUT,0,0,1
15,LINE IN,LINE OUT,0,0,1
20,LINE IN,LINE OUT,0,0,1
20,LINE IN,LINE OUT,0,0,1
25,LINE IN,LINE OUT,0,0,1
20,LINE IN,LINE OUT,0,0,1
25,LINE IN,LINE OUT,0,0,1
25,LINE IN,LINE OUT,0,0,1
25,LINE IN,LINE OUT,0,0,1
20,LINE IN,LINE OUT,0,0,1
25,LINE IN,LINE OUT,0,0,1
20,LINE IN,LINE OUT,0,0,1
25,LINE IN,LINE OUT,0,0,1
20,LINE IN,LINE OUT,0,0,1
25,LINE IN,LINE OUT,0,0,1
25,LINE IN,LINE OUT,0,0,1
25,LINE IN,LINE OUT,0,0,1
20,LINE IN,LINE OUT,0,0,1
20,LINE IN,LINE OUT,0,0,1
25,LINE IN,LINE OUT,0,0,1
20,LINE IN,LINE OUT,0,0,1
25,LINE IN,LINE OUT,0,0,1
25,LINE IN,LINE OUT,0,0,1
25,LINE IN,LINE OUT,0,0,1
25,LINE IN,LINE OUT,0,0,1
25,LINE IN,LINE OUT,0,0,1
25,LINE IN,LINE OUT,0,0,1
25,LINE IN,LINE OUT,0,0,1
25,LINE IN,LINE OUT,0,0,1
25,LINE IN,LINE OUT,0,0,1
25,LINE IN,LINE OUT,0,0,1
25,LINE IN,LINE OUT,0,0,1
20,LINE IN,LINE OUT,0,0,1
25,LINE IN,LINE OUT,0,0,1
25,LINE IN,LINE OUT,0,0,1
25,LINE IN,LINE OUT,0,0,1
25,LINE IN,LINE OUT,0,0,1
25,LINE IN,LINE OUT,0,0,1
20,LINE IN,LINE OUT,0,0,1
25,LINE IN,LINE OUT,0,0,1
