LATENCY_IN_MICROS,DUT_INPUT,DUT_OUTPUT,BUFFER_SIZE,SAMPLE_RATE,CHANNELS
5032,USB IN,LINE OUT,16,44100,1
4944,USB IN,LINE OUT,16,44100,1
4914,USB IN,LINE OUT,16,44100,1
4792,USB IN,LINE OUT,16,44100,1
5775,USB IN,LINE OUT,16,44100,1
4953,USB IN,LINE OUT,16,44100,1
4775,USB IN,LINE OUT,16,44100,1
4822,USB IN,LINE OUT,16,44100,1
4836,USB IN,LINE OUT,16,44100,1
4943,USB IN,LINE OUT,16,44100,1
4929,USB IN,LINE OUT,16,44100,1
4822,USB IN,LINE OUT,16,44100,1
4805,USB IN,LINE OUT,16,44100,1
4947,USB IN,LINE OUT,16,44100,1
4963,USB IN,LINE OUT,16,44100,1
4970,USB IN,LINE OUT,16,44100,1
4978,USB IN,LINE OUT,16,44100,1
4950,USB IN,LINE OUT,16,44100,1
4953,USB IN,LINE OUT,16,44100,1
5227,USB IN,LINE OUT,16,44100,1
4942,USB IN,LINE OUT,16,44100,1
4795,USB IN,LINE OUT,16,44100,1
5674,USB IN,LINE OUT,16,44100,1
5405,USB IN,LINE OUT,16,44100,1
4929,USB IN,LINE OUT,16,44100,1
4895,USB IN,LINE OUT,16,44100,1
4764,USB IN,LINE OUT,16,44100,1
4959,USB IN,LINE OUT,16,44100,1
5779,USB IN,LINE OUT,16,44100,1
5815,USB IN,LINE OUT,16,44100,1
4860,USB IN,LINE OUT,16,44100,1
5795,USB IN,LINE OUT,16,44100,1
4909,USB IN,LINE OUT,16,44100,1
4918,USB IN,LINE OUT,16,44100,1
4989,USB IN,LINE OUT,16,44100,1
4776,USB IN,LINE OUT,16,44100,1
4795,USB IN,LINE OUT,16,44100,1
4895,USB IN,LINE OUT,16,44100,1
4843,USB IN,LINE OUT,16,44100,1
4840,USB IN,LINE OUT,16,44100,1
4248,USB IN,LINE OUT,16,44100,1
4845,USB IN,LINE OUT,16,44100,1
4849,USB IN,LINE OUT,16,44100,1
4788,USB IN,LINE OUT,16,44100,1
4857,USB IN,LINE OUT,16,44100,1
4930,USB IN,LINE OUT,16,44100,1
4873,USB IN,LINE OUT,16,44100,1
5488,USB IN,LINE OUT,16,44100,1
4826,USB IN,LINE OUT,16,44100,1
4861,USB IN,LINE OUT,16,44100,1
4773,USB IN,LINE OUT,16,44100,1
5302,USB IN,LINE OUT,16,44100,1
4759,USB IN,LINE OUT,16,44100,1
5177,USB IN,LINE OUT,16,44100,1
5742,USB IN,LINE OUT,16,44100,1
4843,USB IN,LINE OUT,16,44100,1
4865,USB IN,LINE OUT,16,44100,1
4837,USB IN,LINE OUT,16,44100,1
4464,USB IN,LINE OUT,16,44100,1
4778,USB IN,LINE OUT,16,44100,1
4847,USB IN,LINE OUT,16,44100,1
4819,USB IN,LINE OUT,16,44100,1
4825,USB IN,LINE OUT,16,44100,1
4913,USB IN,LINE OUT,16,44100,1
4929,USB IN,LINE OUT,16,44100,1
4940,USB IN,LINE OUT,16,44100,1
4884,USB IN,LINE OUT,16,44100,1
4897,USB IN,LINE OUT,16,44100,1
4944,USB IN,LINE OUT,16,44100,1
4922,USB IN,LINE OUT,16,44100,1
4956,USB IN,LINE OUT,16,44100,1
4972,USB IN,LINE OUT,16,44100,1
4893,USB IN,LINE OUT,16,44100,1
4788,USB IN,LINE OUT,16,44100,1
5638,USB IN,LINE OUT,16,44100,1
5414,USB IN,LINE OUT,16,44100,1
5419,USB IN,LINE OUT,16,44100,1
5420,USB IN,LINE OUT,16,44100,1
4770,USB IN,LINE OUT,16,44100,1
4889,USB IN,LINE OUT,16,44100,1
4922,USB IN,LINE OUT,16,44100,1
4829,USB IN,LINE OUT,16,44100,1
5239,USB IN,LINE OUT,16,44100,1
4867,USB IN,LINE OUT,16,44100,1
4773,USB IN,LINE OUT,16,44100,1
4943,USB IN,LINE OUT,16,44100,1
4893,USB IN,LINE OUT,16,44100,1
4768,USB IN,LINE OUT,16,44100,1
4957,USB IN,LINE OUT,16,44100,1
5720,USB IN,LINE OUT,16,44100,1
4938,USB IN,LINE OUT,16,44100,1
5808,USB IN,LINE OUT,16,44100,1
4908,USB IN,LINE OUT,16,44100,1
4895,USB IN,LINE OUT,16,44100,1
4909,USB IN,LINE OUT,16,44100,1
4921,USB IN,LINE OUT,16,44100,1
4877,USB IN,LINE OUT,16,44100,1
4848,USB IN,LINE OUT,16,44100,1
4966,USB IN,LINE OUT,16,44100,1
5443,USB IN,LINE OUT,16,44100,1
4910,USB IN,LINE OUT,16,44100,1
4695,USB IN,LINE OUT,16,44100,1
5553,USB IN,LINE OUT,16,44100,1
4652,USB IN,LINE OUT,16,44100,1
4686,USB IN,LINE OUT,16,44100,1
4830,USB IN,LINE OUT,16,44100,1
4888,USB IN,LINE OUT,16,44100,1
4961,USB IN,LINE OUT,16,44100,1
5700,USB IN,LINE OUT,16,44100,1
5617,USB IN,LINE OUT,16,44100,1
5765,USB IN,LINE OUT,16,44100,1
4969,USB IN,LINE OUT,16,44100,1
4913,USB IN,LINE OUT,16,44100,1
5422,USB IN,LINE OUT,16,44100,1
5766,USB IN,LINE OUT,16,44100,1
5739,USB IN,LINE OUT,16,44100,1
5736,USB IN,LINE OUT,16,44100,1
5590,USB IN,LINE OUT,16,44100,1
4826,USB IN,LINE OUT,16,44100,1
4788,USB IN,LINE OUT,16,44100,1
4885,USB IN,LINE OUT,16,44100,1
4947,USB IN,LINE OUT,16,44100,1
4964,USB IN,LINE OUT,16,44100,1
4989,USB IN,LINE OUT,16,44100,1
4750,USB IN,LINE OUT,16,44100,1
4944,USB IN,LINE OUT,16,44100,1
4741,USB IN,LINE OUT,16,44100,1
4933,USB IN,LINE OUT,16,44100,1
4909,USB IN,LINE OUT,16,44100,1
4891,USB IN,LINE OUT,16,44100,1
4964,USB IN,LINE OUT,16,44100,1
5213,USB IN,LINE OUT,16,44100,1
5717,USB IN,LINE OUT,16,44100,1
5003,USB IN,LINE OUT,16,44100,1
4912,USB IN,LINE OUT,16,44100,1
4920,USB IN,LINE OUT,16,44100,1
4954,USB IN,LINE OUT,16,44100,1
4948,USB IN,LINE OUT,16,44100,1
4953,USB IN,LINE OUT,16,44100,1
4927,USB IN,LINE OUT,16,44100,1
4933,USB IN,LINE OUT,16,44100,1
4938,USB IN,LINE OUT,16,44100,1
4942,USB IN,LINE OUT,16,44100,1
4938,USB IN,LINE OUT,16,44100,1
4823,USB IN,LINE OUT,16,44100,1
4814,USB IN,LINE OUT,16,44100,1
4967,USB IN,LINE OUT,16,44100,1
4970,USB IN,LINE OUT,16,44100,1
4949,USB IN,LINE OUT,16,44100,1
4947,USB IN,LINE OUT,16,44100,1
5737,USB IN,LINE OUT,16,44100,1
4904,USB IN,LINE OUT,16,44100,1
4892,USB IN,LINE OUT,16,44100,1
4944,USB IN,LINE OUT,16,44100,1
4971,USB IN,LINE OUT,16,44100,1
5685,USB IN,LINE OUT,16,44100,1
4958,USB IN,LINE OUT,16,44100,1
4911,USB IN,LINE OUT,16,44100,1
5557,USB IN,LINE OUT,16,44100,1
5679,USB IN,LINE OUT,16,44100,1
4719,USB IN,LINE OUT,16,44100,1
4718,USB IN,LINE OUT,16,44100,1
5637,USB IN,LINE OUT,16,44100,1
5417,USB IN,LINE OUT,16,44100,1
5545,USB IN,LINE OUT,16,44100,1
5550,USB IN,LINE OUT,16,44100,1
5738,USB IN,LINE OUT,16,44100,1
5444,USB IN,LINE OUT,16,44100,1
5686,USB IN,LINE OUT,16,44100,1
4750,USB IN,LINE OUT,16,44100,1
4764,USB IN,LINE OUT,16,44100,1
5742,USB IN,LINE OUT,16,44100,1
5396,USB IN,LINE OUT,16,44100,1
4640,USB IN,LINE OUT,16,44100,1
5745,USB IN,LINE OUT,16,44100,1
5677,USB IN,LINE OUT,16,44100,1
4979,USB IN,LINE OUT,16,44100,1
4943,USB IN,LINE OUT,16,44100,1
4945,USB IN,LINE OUT,16,44100,1
4898,USB IN,LINE OUT,16,44100,1
5248,USB IN,LINE OUT,16,44100,1
4973,USB IN,LINE OUT,16,44100,1
4836,USB IN,LINE OUT,16,44100,1
4922,USB IN,LINE OUT,16,44100,1
4940,USB IN,LINE OUT,16,44100,1
4951,USB IN,LINE OUT,16,44100,1
4958,USB IN,LINE OUT,16,44100,1
4956,USB IN,LINE OUT,16,44100,1
4740,USB IN,LINE OUT,16,44100,1
4959,USB IN,LINE OUT,16,44100,1
5430,USB IN,LINE OUT,16,44100,1
4813,USB IN,LINE OUT,16,44100,1
4833,USB IN,LINE OUT,16,44100,1
4855,USB IN,LINE OUT,16,44100,1
4780,USB IN,LINE OUT,16,44100,1
4883,USB IN,LINE OUT,16,44100,1
4805,USB IN,LINE OUT,16,44100,1
4855,USB IN,LINE OUT,16,44100,1
4906,USB IN,LINE OUT,16,44100,1
4798,USB IN,LINE OUT,16,44100,1
4860,USB IN,LINE OUT,16,44100,1
4875,USB IN,LINE OUT,16,44100,1
4556,USB IN,LINE OUT,16,44100,1
4762,USB IN,LINE OUT,16,44100,1
4860,USB IN,LINE OUT,16,44100,1
4857,USB IN,LINE OUT,16,44100,1
4807,USB IN,LINE OUT,16,44100,1
5713,USB IN,LINE OUT,16,44100,1
5349,USB IN,LINE OUT,16,44100,1
6007,USB IN,LINE OUT,16,44100,1
4799,USB IN,LINE OUT,16,44100,1
4820,USB IN,LINE OUT,16,44100,1
4839,USB IN,LINE OUT,16,44100,1
5755,USB IN,LINE OUT,16,44100,1
4770,USB IN,LINE OUT,16,44100,1
4569,USB IN,LINE OUT,16,44100,1
4824,USB IN,LINE OUT,16,44100,1
4848,USB IN,LINE OUT,16,44100,1
5699,USB IN,LINE OUT,16,44100,1
4419,USB IN,LINE OUT,16,44100,1
4462,USB IN,LINE OUT,16,44100,1
4860,USB IN,LINE OUT,16,44100,1
4921,USB IN,LINE OUT,16,44100,1
5285,USB IN,LINE OUT,16,44100,1
5066,USB IN,LINE OUT,16,44100,1
4766,USB IN,LINE OUT,16,44100,1
5685,USB IN,LINE OUT,16,44100,1
4821,USB IN,LINE OUT,16,44100,1
4797,USB IN,LINE OUT,16,44100,1
5104,USB IN,LINE OUT,16,44100,1
4827,USB IN,LINE OUT,16,44100,1
4902,USB IN,LINE OUT,16,44100,1
4841,USB IN,LINE OUT,16,44100,1
4911,USB IN,LINE OUT,16,44100,1
5766,USB IN,LINE OUT,16,44100,1
4798,USB IN,LINE OUT,16,44100,1
5793,USB IN,LINE OUT,16,44100,1
4766,USB IN,LINE OUT,16,44100,1
4717,USB IN,LINE OUT,16,44100,1
4747,USB IN,LINE OUT,16,44100,1
4882,USB IN,LINE OUT,16,44100,1
4952,USB IN,LINE OUT,16,44100,1
4926,USB IN,LINE OUT,16,44100,1
4968,USB IN,LINE OUT,16,44100,1
4789,USB IN,LINE OUT,16,44100,1
4831,USB IN,LINE OUT,16,44100,1
4844,USB IN,LINE OUT,16,44100,1
5758,USB IN,LINE OUT,16,44100,1
4836,USB IN,LINE OUT,16,44100,1
4845,USB IN,LINE OUT,16,44100,1
4795,USB IN,LINE OUT,16,44100,1
4810,USB IN,LINE OUT,16,44100,1
4741,USB IN,LINE OUT,16,44100,1
5808,USB IN,LINE OUT,16,44100,1
4789,USB IN,LINE OUT,16,44100,1
4981,USB IN,LINE OUT,16,44100,1
4760,USB IN,LINE OUT,16,44100,1
5675,USB IN,LINE OUT,16,44100,1
5274,USB IN,LINE OUT,16,44100,1
4975,USB IN,LINE OUT,16,44100,1
4965,USB IN,LINE OUT,16,44100,1
4954,USB IN,LINE OUT,16,44100,1
4960,USB IN,LINE OUT,16,44100,1
4987,USB IN,LINE OUT,16,44100,1
4970,USB IN,LINE OUT,16,44100,1
4957,USB IN,LINE OUT,16,44100,1
